#	snr = 15db, deltaF1 = 0, deltaF2 = 0, length = 60 bytes
#	time			In-phase		Quad-phase
   5.9375000e-06   9.8347007e+01  -5.0405420e+01
   6.0000000e-06   7.3545934e+01  -8.8045627e+01
   6.0625000e-06   9.3612465e+01  -1.0354609e+02
   6.1250000e-06   3.8292043e+01  -8.8765112e+01
   6.1875000e-06  -9.0000000e+00  -1.0646401e+02
   6.2500000e-06   1.4615486e+01  -1.5126833e+02
   6.3125000e-06  -1.4095066e+01  -1.3550836e+02
   6.3750000e-06  -5.6593936e+01  -8.5078929e+01
   6.4375000e-06  -1.1763030e+02  -1.1071377e+02
   6.5000000e-06  -1.0396986e+02  -7.3148050e+01
   6.5625000e-06  -1.0691762e+02  -4.2116952e+01
   6.6250000e-06  -1.0682912e+02  -2.2905272e+01
   6.6875000e-06  -1.2900544e+02  -1.7537684e+01
   6.7500000e-06  -1.0915319e+02   1.6215566e+01
   6.8125000e-06  -1.0534600e+02   3.8127073e+01
   6.8750000e-06  -1.3538984e+02   5.1359359e+01
   6.9375000e-06  -1.2380594e+02   4.3623466e+01
   7.0000000e-06  -8.6379434e+01   1.0401371e+02
   7.0625000e-06  -6.7295139e+01   9.7360700e+01
   7.1250000e-06  -2.9250073e+01   1.3780947e+02
   7.1875000e-06   1.0000000e+00   1.0363210e+02
   7.2500000e-06  -4.2524898e+01   1.4115645e+02
   7.3125000e-06   3.4707004e+01   1.2430454e+02
   7.3750000e-06   8.9979146e+01   1.0160113e+02
   7.4375000e-06   6.6353599e+01   1.1342135e+02
   7.5000000e-06   1.1536290e+02   6.3712013e+01
   7.5625000e-06   1.2823808e+02   8.1261114e+01
   7.6250000e-06   1.0670862e+02   5.0000000e+00
   7.6875000e-06   1.3678773e+02   4.0104576e+01
   7.7500000e-06   9.1348393e+01   5.0000000e+00
   7.8125000e-06   9.8427228e+01  -6.8520870e+01
   7.8750000e-06   1.5044604e+02  -2.6335776e+01
   7.9375000e-06   1.2465877e+02   4.0000000e+00
   8.0000000e-06   1.1114134e+02   2.0000000e+00
   8.0625000e-06   8.2675534e+01   2.3472059e+01
   8.1250000e-06   1.0097259e+02   7.6593360e+01
   8.1875000e-06   7.4374621e+01   5.0110964e+01
   8.2500000e-06   6.9321410e+01   8.4527708e+01
   8.3125000e-06   5.5653295e+01   1.5383056e+02
   8.3750000e-06   1.5340091e+01   1.0823632e+02
   8.4375000e-06   4.0637237e+01   1.0281068e+02
   8.5000000e-06  -5.4462700e+01   1.5716587e+02
   8.5625000e-06   1.2000000e+01   8.6328610e+01
   8.6250000e-06  -5.8654572e+01   9.0615467e+01
   8.6875000e-06  -5.6490623e+01   8.7461754e+01
   8.7500000e-06  -1.3099902e+02   7.0634776e+01
   8.8125000e-06  -1.2332064e+02   3.8260756e+01
   8.8750000e-06  -1.1970037e+02   2.4865610e+01
   8.9375000e-06  -9.3900904e+01   3.0752138e+01
   9.0000000e-06  -1.2616223e+02   3.7696524e+01
   9.0625000e-06  -1.0887665e+02  -6.4814110e+01
   9.1250000e-06  -1.3007092e+02  -6.9499290e+01
   9.1875000e-06  -8.3277921e+01  -7.7659493e+01
   9.2500000e-06  -5.2385191e+01  -9.0210304e+01
   9.3125000e-06  -4.4485553e+01  -1.0967397e+02
   9.3750000e-06  -4.4239231e+01  -9.2143351e+01
   9.4375000e-06  -6.4752518e+01  -8.0953084e+01
   9.5000000e-06  -1.0602977e+02  -4.2933410e+01
   9.5625000e-06  -1.1458621e+02  -6.2751568e+01
   9.6250000e-06  -1.3286363e+02  -6.0000000e+00
   9.6875000e-06  -1.2363548e+02   4.7594864e+01
   9.7500000e-06  -9.6947524e+01   1.3493554e+01
   9.8125000e-06  -1.0683996e+02   4.0146983e+01
   9.8750000e-06  -1.0547686e+02   4.0178575e+01
   9.9375000e-06  -8.4201598e+01   2.4638747e+01
   1.0000000e-05  -9.7886117e+01  -1.3000000e+01
   1.0062500e-05  -9.8658534e+01  -3.2429435e+01
   1.0125000e-05  -8.1815209e+01  -7.5846392e+01
   1.0187500e-05  -6.6360530e+01  -7.3901894e+01
   1.0250000e-05  -5.6428315e+01  -7.0173307e+01
   1.0312500e-05  -4.8359457e+01  -6.1595673e+01
   1.0375000e-05  -4.7503781e+01  -1.0744356e+02
   1.0437500e-05   4.0000000e+00  -1.3466169e+02
   1.0500000e-05  -2.0000000e+00  -8.1765963e+01
   1.0562500e-05   2.6644125e+01  -1.1441142e+02
   1.0625000e-05   2.1450185e+01  -7.2832921e+01
   1.0687500e-05   9.1735310e+01  -8.7666713e+01
   1.0750000e-05   9.3074049e+01  -9.1181938e+01
   1.0812500e-05   9.7280657e+01  -5.2870794e+01
