# deltaF1 = -10K Hz, artificial threshold = 5% amplitude, length = 60
#	deltaF2			PER				iq_counter
   1.0000000e+01   4.9000000e-01   6.9572500e+03
   1.0621053e+03   3.5000000e-01   7.0427550e+03
   2.1142105e+03   3.7000000e-01   6.8165850e+03
   3.1663158e+03   3.9000000e-01   6.8310700e+03
   4.2184211e+03   2.4000000e-01   6.9265850e+03
   5.2705263e+03   2.1000000e-01   7.0196250e+03
   6.3226316e+03   1.0000000e-01   6.9771450e+03
   7.3747368e+03   8.0000000e-02   6.9305300e+03
   8.4268421e+03   1.0000000e-01   6.9832750e+03
   9.4789474e+03   4.0000000e-02   7.0031200e+03
   1.0531053e+04   8.0000000e-02   6.9786950e+03
   1.1583158e+04   6.0000000e-02   6.9889450e+03
   1.2635263e+04   4.0000000e-02   6.9880750e+03
   1.3687368e+04   1.0000000e-02   7.0037450e+03
   1.4739474e+04   4.0000000e-02   6.9514250e+03
   1.5791579e+04   6.0000000e-02   6.9598800e+03
   1.6843684e+04   1.0000000e-02   6.9976750e+03
   1.7895789e+04   7.0000000e-02   6.9945100e+03
   1.8947895e+04   3.0000000e-02   7.0002600e+03
   2.0000000e+04   1.0000000e-02   6.9913100e+03
