# deltaF1 = -10K Hz, artificial threshold = 10% amplitude, length = 60
#	deltaF2			PER				iq_counter
   1.0000000e+01   7.9000000e-01   1.1839840e+04
   1.0621053e+03   8.4000000e-01   1.1777105e+04
   2.1142105e+03   8.7000000e-01   1.1532300e+04
   3.1663158e+03   9.2000000e-01   1.0787030e+04
   4.2184211e+03   8.8000000e-01   1.1568810e+04
   5.2705263e+03   8.4000000e-01   1.1880435e+04
   6.3226316e+03   8.5000000e-01   1.1434505e+04
   7.3747368e+03   7.1000000e-01   1.1411595e+04
   8.4268421e+03   7.5000000e-01   1.1537930e+04
   9.4789474e+03   7.3000000e-01   1.1703970e+04
   1.0531053e+04   6.1000000e-01   1.1702185e+04
   1.1583158e+04   6.8000000e-01   1.1803000e+04
   1.2635263e+04   6.7000000e-01   1.1652165e+04
   1.3687368e+04   5.3000000e-01   1.1652810e+04
   1.4739474e+04   5.9000000e-01   1.1741640e+04
   1.5791579e+04   4.5000000e-01   1.1782330e+04
   1.6843684e+04   5.0000000e-01   1.1700595e+04
   1.7895789e+04   5.5000000e-01   1.1800185e+04
   1.8947895e+04   3.7000000e-01   1.1721980e+04
   2.0000000e+04   3.5000000e-01   1.1800770e+04
