# deltaF1 = -10K Hz, artificial threshold = 5% amplitude, length = 60
#	deltaF2			PER				iq_counter
   1.0000000e+01   3.9000000e-01   7.0248000e+03
   1.0621053e+03   4.0000000e-01   7.0332450e+03
   2.1142105e+03   3.2000000e-01   6.9094050e+03
   3.1663158e+03   3.1000000e-01   6.8987600e+03
   4.2184211e+03   2.1000000e-01   6.9364800e+03
   5.2705263e+03   1.4000000e-01   7.0250850e+03
   6.3226316e+03   1.4000000e-01   7.0062850e+03
   7.3747368e+03   1.1000000e-01   6.9525600e+03
   8.4268421e+03   9.0000000e-02   6.8750600e+03
   9.4789474e+03   7.0000000e-02   6.9767400e+03
   1.0531053e+04   7.0000000e-02   6.9891950e+03
   1.1583158e+04   8.0000000e-02   6.9946950e+03
   1.2635263e+04   1.0000000e-02   6.9937500e+03
   1.3687368e+04   3.0000000e-02   6.9945850e+03
   1.4739474e+04   2.0000000e-02   6.9812700e+03
   1.5791579e+04   0.0000000e+00   7.0037150e+03
   1.6843684e+04   3.0000000e-02   7.0332000e+03
   1.7895789e+04   2.0000000e-02   6.9975200e+03
   1.8947895e+04   4.0000000e-02   6.9947650e+03
   2.0000000e+04   2.0000000e-02   6.9999900e+03
