Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P10        2x6_header,_right_angle       4365mil       2605mil       4365mil       2605mil       4615mil       2655mil  T        180.00 2 x 6 header   
C68        0402                  4775mil       1685mil       4775mil       1685mil   4794.685mil       1685mil  T        180.00 0.01uF         
C66        0402                  4775mil       1625mil       4775mil       1625mil   4794.685mil       1625mil  T        180.00 0.01uF         
C63        0402                  4775mil       1525mil       4775mil       1525mil   4794.685mil       1525mil  T        180.00 0.01uF         
C62        0402                  4775mil       1465mil       4775mil       1465mil   4794.685mil       1465mil  T        180.00 0.01uF         
C61        0402                  4500mil       2005mil       4500mil       2005mil   4480.315mil       2005mil  B          0.00 0.1uF          
C58        0402                  4690mil       2205mil       4690mil       2205mil       4690mil   2224.685mil  B        270.00 0.1uF          
U7         SOP63P600X173-28N       4245mil        895mil       4245mil        895mil   4347.362mil      732.5mil  T        180.00 MAX5189BEEI+   
C1         0402                  2755mil       2200mil       2755mil       2200mil       2755mil   2180.315mil  T         90.00 0.1uF          
C2         0402                  2740mil       2695mil       2740mil       2695mil   2720.315mil       2695mil  T        360.00 0.1uF          
C3         0402                  3370mil       2450mil       3370mil       2450mil       3370mil   2430.315mil  B         90.00 0.1uF          
C4         0402                  2970mil       2420mil       2970mil       2420mil   2950.315mil       2420mil  B        360.00 0.1uF          
C47        C0805                 3100mil        790mil       3100mil        790mil       3100mil    819.528mil  B        270.00 10uF           
C48        C0805                 3190mil        790mil       3190mil        790mil       3190mil    819.528mil  T        270.00 10uF           
C50        0402                  3415mil       1905mil       3415mil       1905mil       3415mil   1924.685mil  B        270.00 100pF          
C51        0402                  3500mil       2020mil       3500mil       2020mil       3500mil   2039.685mil  B        270.00 0.1uF          
C52        C0805                 3575mil       2035mil       3575mil       2035mil       3575mil   2005.473mil  B         90.00 10uF           
C53        C0805                 3250mil        790mil       3250mil        790mil       3250mil    819.528mil  B        270.00 10uF           
C59        0402                  4460mil       1300mil       4460mil       1300mil       4460mil   1319.685mil  T        270.00 0.1uF          
C60        0402                  4515mil       1300mil       4515mil       1300mil       4515mil   1280.315mil  T         90.00 0.1uF          
C64        0402                  4105mil       1635mil       4105mil       1635mil   4085.315mil       1635mil  T        360.00 0.1uF          
C65        0402                  4090mil       1575mil       4090mil       1575mil   4070.315mil       1575mil  T        360.00 0.1uF          
C67        0402                  4105mil       1515mil       4105mil       1515mil   4085.315mil       1515mil  T        360.00 0.1uF          
C69        0402                  4545mil       1825mil       4545mil       1825mil       4545mil   1844.685mil  T        270.00 0.1uF          
C70        0402                  4455mil       1825mil       4455mil       1825mil       4455mil   1844.685mil  T        270.00 0.1uF          
C71        0402                  2710mil       1285mil       2710mil       1285mil       2710mil   1265.315mil  B         90.00 0.1uF          
C72        0402                  3510mil        715mil       3510mil        715mil       3510mil    695.315mil  B         90.00 18pF           
C73        0402                  3785mil        850mil       3785mil        850mil   3804.685mil        850mil  B        180.00 18pF           
C79        0402                  4555mil        605mil       4555mil        605mil       4555mil    585.315mil  B         90.00 0.1uF          
C80        0402                  4855mil        745mil       4855mil        745mil       4855mil    725.315mil  B         90.00 0.1uF          
C81        0402                  4655mil        875mil       4655mil        875mil   4635.315mil        875mil  T        360.00 0.01uF         
C82        0402                  4655mil        935mil       4655mil        935mil   4635.315mil        935mil  T        360.00 0.01uF         
C83        0402                  4655mil       1005mil       4655mil       1005mil   4635.315mil       1005mil  T        360.00 0.01uF         
C84        0402                  4655mil       1065mil       4655mil       1065mil   4635.315mil       1065mil  T        360.00 0.01uF         
C85        0402                  4355mil        650mil       4355mil        650mil       4355mil    630.315mil  T         90.00 0.1uF          
C86        0402                  4140mil        650mil       4140mil        650mil       4140mil    630.315mil  T         90.00 0.1uF          
C87        0402                  4055mil        805mil       4055mil        805mil   4035.315mil        805mil  T        360.00 0.1uF          
C88        0402                  4460mil        840mil       4460mil        840mil   4440.315mil        840mil  B        360.00 0.1uF          
C89        0402                  4040mil      882.5mil       4040mil      882.5mil   4059.685mil      882.5mil  T        180.00 0.1uF          
C93        0402                  1535mil       1960mil       1535mil       1960mil   1554.685mil       1960mil  B        180.00 0.1uF          
C94        0402                  1535mil       2020mil       1535mil       2020mil   1554.685mil       2020mil  B        180.00 0.1uF          
C95        0402                  2135mil       2050mil       2135mil       2050mil   2115.315mil       2050mil  B          0.00 0.1uF          
C96        0402                  2135mil       2090mil       2135mil       2090mil   2115.315mil       2090mil  B          0.00 0.1uF          
C97        C0805                 2235mil       1780mil       2235mil       1780mil   2205.472mil       1780mil  B          0.00 22uF           
C98        0402                  2215mil       1960mil       2215mil       1960mil   2234.685mil       1960mil  B        180.00 100pF          
C99        0402                  2215mil       1905mil       2215mil       1905mil   2234.685mil       1905mil  B        180.00 0.1uF          
C100       0402                  2215mil       1840mil       2215mil       1840mil   2234.685mil       1840mil  B        180.00 0.1uF          
C101       C0805             1930.315mil       1825mil   1930.315mil       1825mil   1959.842mil       1825mil  B        180.00 22uF           
C102       0402              1950.315mil       1965mil   1950.315mil       1965mil    1930.63mil       1965mil  B          0.00 100pF          
C103       0402                  1950mil       2055mil       1950mil       2055mil   1930.315mil       2055mil  B          0.00 0.1uF          
C104       0402                  1950mil       1905mil       1950mil       1905mil   1930.315mil       1905mil  B          0.00 0.1uF          
C105       0402                  1875mil       2250mil       1875mil       2250mil   1855.315mil       2250mil  T          0.00 0.1uF          
C107       0402                   305mil       1380mil        305mil       1380mil        305mil   1360.315mil  B         90.00 1nF            
C112       0402                  1825mil        590mil       1825mil        590mil       1825mil    570.315mil  T         90.00 0.01uF         
C113       0402                  3755mil       1370mil       3755mil       1370mil   3774.685mil       1370mil  T        180.00 100pF          
C114       0402                  3755mil       1330mil       3755mil       1330mil   3774.685mil       1330mil  T        180.00 0.1uF          
C115       0402                  3725mil       1385mil       3725mil       1385mil   3744.685mil       1385mil  B        180.00 0.1uF          
