Field=Comment~String~Comment~159|Field=Description~String~Description~286|Field=Designator~String~Designator~3851|Field=Footprint~String~Footprint~161|Field=LibRef~String~LibRef~141|Field=Quantity~Integer~Quantity~62|Field=Value~String~Value~410|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~159|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SDR.PrjPCB|ReportField=ProjectFullPath~C:\Users\Sam\Documents\My Dropbox\SDR\Board Design\PCB project\SDR.PrjPCB|ReportField=Title~Bill of Materials For Project [SDR.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~312|ReportField=ReportTime~12:21:28 AM|ReportField=ReportDate~9/19/2011|ReportField=ReportDateTime~9/19/2011 12:21:28 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/19/2011|ReportField=CurrentTime~12:21:14 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Sam\Documents\My Dropbox\SDR\Board Design\PCB project\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~9/17/2011|ReportField=Organization~|ReportField=ProjectName~SDR.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~SDR.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Sam\Documents\My Dropbox\SDR\Board Design\PCB project\SDR.PrjPCB
MT45W8MW16BGX-701 IT TR|IC PSRAM 128MBIT 70NS 54VFBGA|U2|BGA54C75P9X6_1000X800X70|MT45W8MW16BGX-701 IT|1||MT45W8MW16BGX-701 IT TR
S29GL064N90TFI010|Flash 3V 64Mb Float Gate highest address 90s|U3|TSSOP50P2000X120-56N|S29GL064N|1||S29GL064N90TFI010
LT1117CST-3.3#PBF|IC REG LDO 3.3V SOT-223|U4|SOT223-4L|LT1117-3.3|1|3.3V|LT1117CST-3.3#PBF
TPS78918DBVR|IC 1.8V 100MA LDO REG SOT-23-5|U5|SOT23-5|TPS789 LDO|1|1.8V|TPS78918DBVR
TPS73115DBVT|IC LDO REG 150MA 1.5V SOT23-5|U6|SOT23-5|TPS731|1|1.5V|TPS73115DBVT
REG102NA-2.85/250|IC REG LDO 2.85V 250MA SOT23-5|U7|SOT23-5|REG102/103/104|1|2.85V|REG102NA-2.85/250
MAX6061AEUR+T|IC REF VOLT LDO SOT23-3|U8, U11|SOT23-3N|MAX6061|2|1.25V|MAX6061AEUR+T
AD9288BSTZ-100|IC ADC 8BIT DUAL 100MSPS 48-LQFP|U9|TSQFP50P900X900X160-48N|AD9288|1|100MHz|AD9288BSTZ-100
SN74LVC1G125DBVR|IC BUS BUFF TRI-ST N-INV SOT235|U10|SOT23-5|SN74LVC1G125|1||SN74LVC1G125DBVR
MAX5189BEEI+|IC DAC 8BIT DUAL 40MHZ 28-QSOP|U12|SOP63P600X173-28N|MAX5189|1||MAX5189BEEI+
KSZ8721CL|IC TXRX PHY 10/100 3.3V 48-LQFP|U13|TSQFP50P900X900X160-48N|KSZ8721CL|1||KSZ8721CL
SN74LVC1G04DBVR|IC SINGLE INVERTER-GATE SOT-23-5|U14|SOT23-5|SN74LVC1G04DBV|1||SN74LVC1G04DBVR
UPG2015TB-A|IC SWITCH SPDT 6-SMINI|U15|S06|RF Switch|1||UPG2015TB-A
MAX2831ETM+|RF Transceiver 2.4-2.5GHz 802.11g/b RF Transceiver|U16|TQFN-48|MAX2831|1||MAX2831ETM+
HHM1520A2|XFRMR BALUN RF 2.4GHZ SMD|U17, U18|HHM1520A2|TDK chip Balun|2||HHM1520A2
FT232RL|USB to UART interface in SSOP-28 package|U19|SSOP65P780X200-28N|FT232RL|1||FT232RL-REEL
TCM809SVNB713|IC RESET MONITOR 2.93V SOT23B|U20|SOT23-3N|TCM809|1||TCM809SVNB713
ABM3-20.000MHZ-B2-T|CRYSTAL 20.000MHZ 18PF SMD|Y1|ABM3|ABM3|1|20MHz|ABM3-20.000MHZ-B2-T
CM519-32.768KDZF-UT|CRYSTAL 32.768 KHZ 12.5PF SMD|Y2|CM519|CM519|1|32.768KHz|CM519-32.768KDZF-UT
CB3LV-3C-50M0000|OSC 50.000 MHZ 3.3V SMD|Y3|CB3_CB3LV|CB3_CB3LV|1|50MHz|CB3LV-3C-50M0000
CX101F-040.000-H0445|CRYSTAL 40.000MHZ 12PF SMD|Y4|CX-3225SB|CX-3225SB|1|40MHz|CX101F-040.000-H0445
